emoticon,convert_emoji,translate_emoji,cleaned,tokenize,normalization,stemmed,stopwords_stemmed,text_string_stemmed,label
@DPP_PKB @cakimiNOW Cak Imin sangat berkarismatik ....memang cocok mendampingi Anis,Cak Imin sangat berkarismatik ....memang cocok mendampingi Anis,Cak Imin sangat berkarismatik ....memang cocok mendampingi Anis,cak imin sangat berkarismatik memang cocok mendampingi anis,"['cak', 'imin', 'sangat', 'berkarismatik', 'memang', 'cocok', 'mendampingi', 'anis']","['cak', 'imin', 'sangat', 'berkarismatik', 'memang', 'cocok', 'mendampingi', 'anis']","['cak', 'imin', 'sangat', 'karismatik', 'memang', 'cocok', 'damping', 'anis']","['cak', 'imin', 'karismatik', 'cocok', 'damping', 'anis']",cak imin karismatik cocok damping anis,positive
@Adiprayitno_20 lho...lho gak bahaya tah kalau cawapres @cak_imin juga diundang makan siang,lho...lho gak bahaya tah kalau cawapres juga diundang makan siang,lho...lho gak bahaya tah kalau cawapres juga diundang makan siang,lholho gak bahaya tah kalau cawapres juga diundang makan siang,"['lholho', 'gak', 'bahaya', 'tah', 'kalau', 'cawapres', 'juga', 'diundang', 'makan', 'siang']","['lholho', 'gak', 'bahaya', 'tah', 'kalau', 'cawapres', 'juga', 'diundang', 'makan', 'siang']","['lholho', 'gak', 'bahaya', 'tah', 'kalau', 'cawapres', 'juga', 'undang', 'makan', 'siang']","['lholho', 'gak', 'bahaya', 'cawapres', 'undang', 'makan', 'siang']",lholho gak bahaya cawapres undang makan siang,negative
@FandiFrezian @sasbudiarjo @kikysaputrii Karna posisinya pak Anis masih jadi Gubernur DKI. Waktu itu juga pernah Cak Imin dateng ke Lapor Pak tapi pas bukan jadi Cawapres. Jadinya aman. Kalo skrg Ganjar udah jadi Cawapres jadinya roastingnya banyak yg di cut-cut.,Karna posisinya pak Anis masih jadi Gubernur DKI. Waktu itu juga pernah Cak Imin dateng ke Lapor Pak tapi pas bukan jadi Cawapres. Jadinya aman. Kalo skrg Ganjar udah jadi Cawapres jadinya roastingnya banyak yg di cut-cut.,Karna posisinya pak Anis masih jadi Gubernur DKI. Waktu itu juga pernah Cak Imin dateng ke Lapor Pak tapi pas bukan jadi Cawapres. Jadinya aman. Kalo skrg Ganjar udah jadi Cawapres jadinya roastingnya banyak yg di cut-cut.,karna posisinya pak anis masih jadi gubernur dki waktu itu juga pernah cak imin dateng ke lapor pak tapi pas bukan jadi cawapres jadinya aman kalo skrg ganjar udah jadi cawapres jadinya roastingnya banyak yg di cutcut,"['karna', 'posisinya', 'pak', 'anis', 'masih', 'jadi', 'gubernur', 'dki', 'waktu', 'itu', 'juga', 'pernah', 'cak', 'imin', 'dateng', 'ke', 'lapor', 'pak', 'tapi', 'pas', 'bukan', 'jadi', 'cawapres', 'jadinya', 'aman', 'kalo', 'skrg', 'ganjar', 'udah', 'jadi', 'cawapres', 'jadinya', 'roastingnya', 'banyak', 'yg', 'di', 'cutcut']","['karena', 'posisinya', 'pak', 'anis', 'masih', 'jadi', 'gubernur', 'dki', 'waktu', 'itu', 'juga', 'pernah', 'cak', 'imin', 'dateng', 'ke', 'lapor', 'pak', 'tapi', 'pas', 'bukan', 'jadi', 'cawapres', 'jadinya', 'aman', 'kalo', 'sekarang', 'ganjar', 'udah', 'jadi', 'cawapres', 'jadinya', 'roastingnya', 'banyak', 'yg', 'di', 'cutcut']","['karena', 'posisi', 'pak', 'anis', 'masih', 'jadi', 'gubernur', 'dki', 'waktu', 'itu', 'juga', 'pernah', 'cak', 'imin', 'dateng', 'ke', 'lapor', 'pak', 'tapi', 'pas', 'bukan', 'jadi', 'cawapres', 'jadi', 'aman', 'kalo', 'sekarang', 'ganjar', 'udah', 'jadi', 'cawapres', 'jadi', 'roastingnya', 'banyak', 'yg', 'di', 'cutcut']","['anis', 'gubernur', 'dki', 'cak', 'imin', 'dateng', 'lapor', 'cawapres', 'aman', 'ganjar', 'cawapres', 'roastingnya', 'cutcut']",anis gubernur dki cak imin dateng lapor cawapres aman ganjar cawapres roastingnya cutcut,positive
"Cak Imin Tak Khawatir Yenny Dukung Ganjar-Mahfud: Sama Suaminya Beda Pilihan, Jadi Biasa Aja! @cakimiNOW https://t.co/r2rHGjizFP","Cak Imin Tak Khawatir Yenny Dukung Ganjar-Mahfud Sama Suaminya Beda Pilihan, Jadi Biasa Aja! https //t.co/r2rHGjizFP","Cak Imin Tak Khawatir Yenny Dukung Ganjar-Mahfud Sama Suaminya Beda Pilihan, Jadi Biasa Aja! https //t.co/r2rHGjizFP",cak imin tak khawatir yenny dukung ganjarmahfud sama suaminya beda pilihan jadi biasa aja   tcor rhgjizfp,"['cak', 'imin', 'tak', 'khawatir', 'yenny', 'dukung', 'ganjarmahfud', 'sama', 'suaminya', 'beda', 'pilihan', 'jadi', 'biasa', 'aja', 'tcor', 'rhgjizfp']","['cak', 'imin', 'tak', 'khawatir', 'yenny', 'dukung', 'ganjarmahfud', 'sama', 'suaminya', 'beda', 'pilihan', 'jadi', 'biasa', 'aja', 'tcor', 'rhgjizfp']","['cak', 'imin', 'tak', 'khawatir', 'yenny', 'dukung', 'ganjarmahfud', 'sama', 'suami', 'beda', 'pilih', 'jadi', 'biasa', 'aja', 'tcor', 'rhgjizfp']","['cak', 'imin', 'khawatir', 'yenny', 'dukung', 'ganjarmahfud', 'suami', 'beda', 'pilih', 'tcor', 'rhgjizfp']",cak imin khawatir yenny dukung ganjarmahfud suami beda pilih tcor rhgjizfp,neutral
"Susi Pudjiastuti Dikabarkan Masuk Calon Kapten Timnas Pemenangan pasangan AMIN, Ini Kata Anies  #SusiPudjiastuti #AniesBaswedan #CakImin #AMIN   https://t.co/diE6eozT8n","Susi Pudjiastuti Dikabarkan Masuk Calon Kapten Timnas Pemenangan pasangan AMIN, Ini Kata Anies https //t.co/diE6eozT8n","Susi Pudjiastuti Dikabarkan Masuk Calon Kapten Timnas Pemenangan pasangan AMIN, Ini Kata Anies https //t.co/diE6eozT8n",susi pudjiastuti dikabarkan masuk calon kapten timnas pemenangan pasangan amin ini kata anies   tcodie eozt n,"['susi', 'pudjiastuti', 'dikabarkan', 'masuk', 'calon', 'kapten', 'timnas', 'pemenangan', 'pasangan', 'amin', 'ini', 'kata', 'anies', 'tcodie', 'eozt', 'n']","['susi', 'pudjiastuti', 'dikabarkan', 'masuk', 'calon', 'kapten', 'timnas', 'pemenangan', 'pasangan', 'amin', 'ini', 'kata', 'anies', 'tcodie', 'eozt', 'n']","['sus', 'pudjiastuti', 'kabar', 'masuk', 'calon', 'kapten', 'timnas', 'menang', 'pasang', 'amin', 'ini', 'kata', 'anies', 'tcodie', 'eozt', 'n']","['sus', 'pudjiastuti', 'kabar', 'calon', 'kapten', 'timnas', 'menang', 'pasang', 'amin', 'anies', 'tcodie', 'eozt']",sus pudjiastuti kabar calon kapten timnas menang pasang amin anies tcodie eozt,positive
"@voiceofpkb @aniesbaswedan @cakimiNOW Bersama AMIN kita aksn menuju Indonesia lebih adil, lebih makmur. Insya Allah cita-cita Perubahan AMIN aniesbaswedan dan cakimiN akan membawa Indonesia yang keadilannya bisa dirasakan oleh semua â€¦","Bersama AMIN kita aksn menuju Indonesia lebih adil, lebih makmur. Insya Allah cita-cita Perubahan AMIN aniesbaswedan dan cakimiN akan membawa Indonesia yang keadilannya bisa dirasakan oleh semua â€¦","Bersama AMIN kita aksn menuju Indonesia lebih adil, lebih makmur. Insya Allah cita-cita Perubahan AMIN aniesbaswedan dan cakimiN akan membawa Indonesia yang keadilannya bisa dirasakan oleh semua â€¦",bersama amin kita aksn menuju indonesia lebih adil lebih makmur insya allah citacita perubahan amin aniesbaswedan dan cakimin akan membawa indonesia yang keadilannya bisa dirasakan oleh semua ,"['bersama', 'amin', 'kita', 'aksn', 'menuju', 'indonesia', 'lebih', 'adil', 'lebih', 'makmur', 'insya', 'allah', 'citacita', 'perubahan', 'amin', 'aniesbaswedan', 'dan', 'cakimin', 'akan', 'membawa', 'indonesia', 'yang', 'keadilannya', 'bisa', 'dirasakan', 'oleh', 'semua']","['bersama', 'amin', 'kita', 'aksn', 'menuju', 'indonesia', 'lebih', 'adil', 'lebih', 'makmur', 'insya', 'allah', 'citacita', 'perubahan', 'amin', 'aniesbaswedan', 'dan', 'cakimin', 'akan', 'membawa', 'indonesia', 'yang', 'keadilannya', 'bisa', 'dirasakan', 'oleh', 'semua']","['sama', 'amin', 'kita', 'aksn', 'tuju', 'indonesia', 'lebih', 'adil', 'lebih', 'makmur', 'insya', 'allah', 'citacita', 'ubah', 'amin', 'aniesbaswedan', 'dan', 'cakimin', 'akan', 'bawa', 'indonesia', 'yang', 'adil', 'bisa', 'rasa', 'oleh', 'semua']","['amin', 'aksn', 'indonesia', 'adil', 'makmur', 'insya', 'allah', 'citacita', 'ubah', 'amin', 'aniesbaswedan', 'cakimin', 'bawa', 'indonesia', 'adil']",amin aksn indonesia adil makmur insya allah citacita ubah amin aniesbaswedan cakimin bawa indonesia adil,positive
"Ini negara atau organisasi? Kok kayak lagi srawung aja sama ketua himpunan periode akhir aja. Anies, Prabowo, dan Ganjar seolah-olah kayak calon ketua himpunan yang lagi nanya-nanya rasanya jadi ketua himpunan gimana ke katingnya ðŸ«¤","Ini negara atau organisasi? Kok kayak lagi srawung aja sama ketua himpunan periode akhir aja. Anies, Prabowo, dan Ganjar seolah-olah kayak calon ketua himpunan yang lagi nanya-nanya rasanya jadi ketua himpunan gimana ke katingnya ðŸ«¤","Ini negara atau organisasi? Kok kayak lagi srawung aja sama ketua himpunan periode akhir aja. Anies, Prabowo, dan Ganjar seolah-olah kayak calon ketua himpunan yang lagi nanya-nanya rasanya jadi ketua himpunan gimana ke katingnya ðŸ«¤",ini negara atau organisasi kok kayak lagi srawung aja sama ketua himpunan periode akhir aja anies prabowo dan ganjar seolaholah kayak calon ketua himpunan yang lagi nanyananya rasanya jadi ketua himpunan gimana ke katingnya ,"['ini', 'negara', 'atau', 'organisasi', 'kok', 'kayak', 'lagi', 'srawung', 'aja', 'sama', 'ketua', 'himpunan', 'periode', 'akhir', 'aja', 'anies', 'prabowo', 'dan', 'ganjar', 'seolaholah', 'kayak', 'calon', 'ketua', 'himpunan', 'yang', 'lagi', 'nanyananya', 'rasanya', 'jadi', 'ketua', 'himpunan', 'gimana', 'ke', 'katingnya']","['ini', 'negara', 'atau', 'organisasi', 'kok', 'kayak', 'lagi', 'srawung', 'aja', 'sama', 'ketua', 'himpunan', 'periode', 'akhir', 'aja', 'anies', 'prabowo', 'dan', 'ganjar', 'seolaholah', 'kayak', 'calon', 'ketua', 'himpunan', 'yang', 'lagi', 'nanyananya', 'rasanya', 'jadi', 'ketua', 'himpunan', 'gimana', 'ke', 'katingnya']","['ini', 'negara', 'atau', 'organisasi', 'kok', 'kayak', 'lagi', 'srawung', 'aja', 'sama', 'ketua', 'himpun', 'periode', 'akhir', 'aja', 'anies', 'prabowo', 'dan', 'ganjar', 'seolaholah', 'kayak', 'calon', 'ketua', 'himpun', 'yang', 'lagi', 'nanyananya', 'rasa', 'jadi', 'ketua', 'himpun', 'gimana', 'ke', 'katingnya']","['negara', 'organisasi', 'srawung', 'ketua', 'himpun', 'periode', 'anies', 'prabowo', 'ganjar', 'seolaholah', 'calon', 'ketua', 'himpun', 'nanyananya', 'ketua', 'himpun', 'katingnya']",negara organisasi srawung ketua himpun periode anies prabowo ganjar seolaholah calon ketua himpun nanyananya ketua himpun katingnya,neutral
@voiceofpkb @aniesbaswedan @cakimiNOW Bravo Gus Muhaimin Iskandar untuk Indonesia Maju ðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡©ðŸ‡®ðŸ‡©,Bravo Gus Muhaimin Iskandar untuk Indonesia Maju ðŸ‡ registered ðŸ‡ copyright ðŸ‡ registered ðŸ‡ copyright ðŸ‡ registered ðŸ‡ copyright,Bravo Gus Muhaimin Iskandar untuk Indonesia Maju ðŸ‡ registered ðŸ‡ copyright ðŸ‡ registered ðŸ‡ copyright ðŸ‡ registered ðŸ‡ copyright,bravo gus muhaimin iskandar untuk indonesia maju  registered  copyright  registered  copyright  registered  copyright,"['bravo', 'gus', 'muhaimin', 'iskandar', 'untuk', 'indonesia', 'maju', 'registered', 'copyright', 'registered', 'copyright', 'registered', 'copyright']","['bravo', 'gus', 'muhaimin', 'iskandar', 'untuk', 'indonesia', 'maju', 'registered', 'copyright', 'registered', 'copyright', 'registered', 'copyright']","['bravo', 'gus', 'muhaimin', 'iskandar', 'untuk', 'indonesia', 'maju', 'registered', 'copyright', 'registered', 'copyright', 'registered', 'copyright']","['bravo', 'gus', 'muhaimin', 'iskandar', 'indonesia', 'maju', 'registered', 'copyright', 'registered', 'copyright', 'registered', 'copyright']",bravo gus muhaimin iskandar indonesia maju registered copyright registered copyright registered copyright,positive
"@ganjarpranowo Gak usah diladenin pak, gw yg dukung pak Anies aja, gak suka cara dia ngetwitt. Parah","Gak usah diladenin pak, gw yg dukung pak Anies aja, gak suka cara dia ngetwitt. Parah","Gak usah diladenin pak, gw yg dukung pak Anies aja, gak suka cara dia ngetwitt. Parah",gak usah diladenin pak gw yg dukung pak anies aja gak suka cara dia ngetwitt parah,"['gak', 'usah', 'diladenin', 'pak', 'gw', 'yg', 'dukung', 'pak', 'anies', 'aja', 'gak', 'suka', 'cara', 'dia', 'ngetwitt', 'parah']","['gak', 'usah', 'diladenin', 'pak', 'saya', 'yg', 'dukung', 'pak', 'anies', 'aja', 'gak', 'suka', 'cara', 'dia', 'ngetwitt', 'parah']","['gak', 'usah', 'diladenin', 'pak', 'saya', 'yg', 'dukung', 'pak', 'anies', 'aja', 'gak', 'suka', 'cara', 'dia', 'ngetwitt', 'parah']","['gak', 'diladenin', 'dukung', 'anies', 'gak', 'suka', 'ngetwitt', 'parah']",gak diladenin dukung anies gak suka ngetwitt parah,positive
"@Fahrihamzah Anies bukan ukuran Lo RI Jelas Anies lebih berkualitas LBH berbobot dr pada Lo RI ,Lo bisanya cm ngecaprak doang dinkasih jabatan gak ada hasilnya buat rakyat indonesia","Anies bukan ukuran Lo RI Jelas Anies lebih berkualitas LBH berbobot dr pada Lo RI ,Lo bisanya cm ngecaprak doang dinkasih jabatan gak ada hasilnya buat rakyat indonesia","Anies bukan ukuran Lo RI Jelas Anies lebih berkualitas LBH berbobot dr pada Lo RI ,Lo bisanya cm ngecaprak doang dinkasih jabatan gak ada hasilnya buat rakyat indonesia",anies bukan ukuran lo ri jelas anies lebih berkualitas lbh berbobot dr pada lo ri lo bisanya cm ngecaprak doang dinkasih jabatan gak ada hasilnya buat rakyat indonesia,"['anies', 'bukan', 'ukuran', 'lo', 'ri', 'jelas', 'anies', 'lebih', 'berkualitas', 'lbh', 'berbobot', 'dr', 'pada', 'lo', 'ri', 'lo', 'bisanya', 'cm', 'ngecaprak', 'doang', 'dinkasih', 'jabatan', 'gak', 'ada', 'hasilnya', 'buat', 'rakyat', 'indonesia']","['anies', 'bukan', 'ukuran', 'lo', 'ri', 'jelas', 'anies', 'lebih', 'berkualitas', 'lbh', 'berbobot', 'dr', 'pada', 'lo', 'ri', 'lo', 'bisanya', 'cm', 'ngecaprak', 'doang', 'dinkasih', 'jabatan', 'gak', 'ada', 'hasilnya', 'buat', 'rakyat', 'indonesia']","['anies', 'bukan', 'ukur', 'lo', 'ri', 'jelas', 'anies', 'lebih', 'kualitas', 'lbh', 'bobot', 'dr', 'pada', 'lo', 'ri', 'lo', 'bisa', 'cm', 'ngecaprak', 'doang', 'dinkasih', 'jabat', 'gak', 'ada', 'hasil', 'buat', 'rakyat', 'indonesia']","['anies', 'ukur', 'ri', 'anies', 'kualitas', 'bobot', 'ri', 'ngecaprak', 'doang', 'dinkasih', 'jabat', 'gak', 'rakyat', 'indonesia']",anies ukur ri anies kualitas bobot ri ngecaprak doang dinkasih jabat gak rakyat indonesia,positive
